Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"06/02/2014","21 THE COURTHOUSE, MAIN ST, RATHCOOLE","","Dublin","€111,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","22 FOX BOROUGH ROAD, LUCAN, DUBLIN","","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","24 ALEXANDRA WALK, WHITEFRIAR ST, DUBLIN 8","","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","26 Castlepark Residence, Castlepark Road, Sandycove","","Dublin","€580,000.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"06/02/2014","26 SUNDALE VILLAS, TALLAGHT, DUBLIN","","Dublin","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","28 ST JOHNS COURT, CLONDALKIN, DUBLIN 22","","Dublin","€163,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","3 GLENMORE MEWS, BALLYBODEN, RATHFARNHAM","Dublin 16","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","32 FARRANBOLEY PARK, DUNDRUM RD, DUBLIN 14","","Dublin","€279,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","36 CEDAR GROVE, RIDGEWOOD, SWORDS","","Dublin","€213,657.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/02/2014","36 EARLSFORT MEADOWS, LUCAN, DUBLIN","","Dublin","€185,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","36 ST MARGARETS AVE, RAHENY, DUBLIN 5","","Dublin","€405,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","38 ST AGNES PK, CRUMLIN, DUBLIN 12","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","4 The Starlings, Shankhill, Co Dublin","","Dublin","€330,396.47","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/02/2014","41a Cill Eanna, Raheny","Dublin 5","Dublin","€415,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","43 HARRINGTON ST, DUBLIN 8, DUBLIN","","Dublin","€1,050,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","6 GALLERY QUAY, GRAND CANAL DOCK, DUBLIN","","Dublin","€208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","60 CALDERWOOD RD, DRUMCONDRA, DUBLIN 9","","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","7 CEDARHURST GREEN, PHOENIX PARK RACECOURSE, CASTLEKNOCK DUBLIN 15","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","78 THE SQUARE, LARCH HILL, OSCAR TRAYNOR ROAD","","Dublin","€153,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","8 King Street, Clongriffen","Dublin 13","Dublin","€185,022.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/02/2014","8 Mather Road South, Mount Merrion","","Dublin","€650,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","86A, BALLINTEER CRESENT, BALLINTEER","","Dublin","€353,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","9 ST ANNE'S ROAD, DUBLIN 8","","Dublin","€402,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","9 THE GROVE, WOODBROOK GLEN, BRAY","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","APARTMENT 33 MUSIC HALL, COPPER ALLEY, TEMPLE BAR","","Dublin","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","APARTMENT 48, MUSIC HALL, TEMPLEBAR","","Dublin","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","APT 4, GRATTAN HALL, LOWER MOUNT ST DUBLIN 2","","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","APT 62, BALLINTYRE SQ, BALLINTEER","","Dublin","€238,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","APT 7 HOUSE 11, LINDEN SQ, GROVE AVE","","Dublin","€322,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","GILSPUR, ENNISKERRY RD, SANDYFORD DUBLIN 18","","Dublin","€750,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/02/2014","THE BRAMBLES, BALDONGAN, LUSK","","Dublin","€465,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","1 MERLYN DR, BALLSBRIDGE, DUBLIN 4","","Dublin","€1,060,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","11 UPPER, FITZWILLIAM ST, DUBLIN 2","","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","12 Broadfield Lawns, Broadfield Manor, Rathcoole","","Dublin","€246,696.03","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"07/02/2014","12 Loftus Lane, Belmont, Aikens Village  Stepaside","","Dublin","€365,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/02/2014","136 LARAGHCON, LUCAN, DUBLIN","","Dublin","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","14 MARIAN PARK, BALDOYLE, DUBLIN 13","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","15 RIVERWOOD CRESCENT, CASTLEKNOCK, DUBLIN 15","","Dublin","€309,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","16 Downpatrick Road, Crumlin","Dublin 12","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","16 HERBERT PARK MEWS, EGLINTON TERRACE, DONNYBROOK DUBLIN 4","Dublin 4","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","18 Castleland Park Avenue, Balbriggan","","Dublin","€167,400.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/02/2014","185 PACE AVE, LITTLEPACE, CLONEE DUBLIN 15","","Dublin","€236,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","19 THE ORCHARD APARTMENTS, CLOVERHILL ROAD, CLONDALKIN","","Dublin","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","1A DROMARD TERRACE, SANDYMOUNT, DUBLIN 4","","Dublin","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","20 CASTLEGATE, OLIVER PLUNKETT STREET, MONKSTOWN","","Dublin","€127,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","21 CLEARSTREAM COURT, MCKEE AVE, FINGLAS DUBLIN 11","","Dublin","€144,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","21 THE WAREHOUSE, CLANBRASSIL ST, DUBLIN 8","","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","22 DALETREE CRESCENT, BALLYCULLEN, DUBLIN 24","","Dublin","€332,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","22 LEIGHLIN RD, CRUMLIN, DUBLIN 12","","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","22 THE ORCHARD APARTMENTS, CLOVERHILL ROAD, CLONDALKIN","","Dublin","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","23 ABBY WELL, CHAPEL RD, KINSEALY","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","245 SUNDRIVE RD, CRUMLIN, DUBLIN 12","","Dublin","€223,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","25 SHANTALLA RD, BEAUMONT, DUBLIN 9","","Dublin","€227,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","26 MALTON HOUSE, CUSTOM HOUSE SQ, DUBLIN","","Dublin","€161,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","26 THE GREEN, MELROSE PARK, KINSEALY","","Dublin","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","27 DEAN SWIFT RD, GLASNEVIN, DUBLIN 9","","Dublin","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","284 WILLOWBANK DR, RATHFARNHAM, DUBLIN 14","","Dublin","€595,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","34 RATHFARNHAM MILL, RATHFARNHAM DUBLIN 14, DUBLIN","","Dublin","€330,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","348A KILDARE ROAD, CRUMLIN, DUBLIN 12","","Dublin","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","39 CREMORE HEIGHTS, BALLYGALL RD, GLASNEVIN DUBLIN 11","","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","4 CLARINDA COURT, CLARINDA PARK WEST, DUN LAOGHAIRE","","Dublin","€271,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","406 EDGES 3 BEACON COURT, SANDYFORD, DUBLIN 18","","Dublin","€162,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","424 SOUTH CIRCULAR RD, DUBLIN 8","","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","42A WADELAI RD, DUBLIN 11, DUBLIN","","Dublin","€97,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","44 WALKINSTOWN AVE, DUBLIN 12, DUBLIN","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","48 PARKVIEW, BRACKENSTOWN RD, SWORDS","","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","4A THE PARK, MILITARY RD, RATHMINES DUBLIN 6","","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","4O CEDAR GROVE, THE CEDARS, RIDGEWOOD FOREST ROAD SWORDS","","Dublin","€160,793.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/02/2014","5 KENILWORTH RD, RATHMINES, DUBLIN 6","","Dublin","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","5 Loftus Close, Belmont, Aikens Village","","Dublin","€325,991.18","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"07/02/2014","5 Wilsons Place, Hogan Place","Dublin 2","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","54 WOODFORD DOWNS, MONASTERY RD, CLONDALKIN DUBLIN 22","","Dublin","€172,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","56 THORMANBY LAWNS, HOWTH, DUBLIN","","Dublin","€635,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","58 OLD BAWN RD, TALLAGHT, DUBLIN 24","","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","62 Seagrave Drive, Meakstown, Finglas","Dublin 11","Dublin","€77,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","69 SUNDRIVE RD, KIMMAGE, DUBLIN 12","","Dublin","€161,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","7 CHURCH GROVE, AYLESBURY, TALLAGHT DUBLIN 24","","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","7 Knockree, Carrickmines","Dublin 18","Dublin","€422,126.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"07/02/2014","7 Priory Street, Clongriffin","Dublin 13","Dublin","€205,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/02/2014","73 BENMADIGAN RD, DRIMNAGH, DUBLIN CITY","","Dublin","€176,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","74 LEIGHLIN RD, CRUMLIN, DUBLIN 12","","Dublin","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","8 HARMAC COURT, BRIGHTON AVE, RATHGAR DUBLIN 6","","Dublin","€188,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","83 St Peters Terrace, Howth","","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","9 EARLSFORT WAY, LUCAN, DUBLIN","","Dublin","€181,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","9 RED ARCHES CLOSE, BALDOYLE, DUBLIN 13","","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","APT 4, 18 LOWER BAGGOT ST, DUBLIN 2","","Dublin","€370,044.05","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","APT 6 BLOCK 9, GALLERY QUAY, GRAND CANAL DOCK","","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","GLANDORE, STRADBROOK ROAD, BLACKROCK","","Dublin","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/02/2014","WOODBURN, 31 SYDNEY AVE, BLACKROCK","","Dublin","€3,350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","1 THE GREENLANDS, CASTLESIDE DRIVE, RATHFARNHAM","","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","110 GRIFFITH COURT, FAIRVIEW, DUBLIN 3","","Dublin","€511,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","112 PINERIDGE, BALBRIGGAN","","Dublin","€152,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","14 THE POPLARS, MONKSTOWN VALLEY, MONKSTOWN","","Dublin","€284,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","17 LITTLEPACE CLOSE, CLONEE, DUBLIN 15","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","23 BRIARFIELD RD, KILBARRACK, DUBLIN 17","","Dublin","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","36 KNOCKABAWN, RUSH, DUBLIN","","Dublin","€80,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","37A MELROSE AVE, CLONDALKIN, DUBLIN 22","","Dublin","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","38 RAVENSDALE RD, EAST WALL, DUBLIN 3","","Dublin","€133,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","45 LEINSTER AVENUE, NORTH STRAND, DUBLIN 3","","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","46 ABBOTSTOWN RD, FINGLAS WEST, DUBLIN 11","","Dublin","€72,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","51 BRACKENSTOWN AVE, SWORDS, DUBLIN","","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","51 FASSAUGH RD, CABRA, DUBLIN 7","","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","6 GLENCAIRN DR, THE GALLOPS, LEOPARDSTOWN DUBLIN 18","Dublin 18","Dublin","€396,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","63 Lower Leeson Street, Dublin","","Dublin","€525,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","67 CROSFORGE, SAGGART, CO.DUBLIN","","Dublin","€224,900.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2014","70 HILLBROOK WOODS, BLANCHARDSTOWN RD SOUTH DUBLIN 15, DUBLIN","","Dublin","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","720 SOUTH CIRCULAR RD, KILMAINHAM, DUBLIN 8","","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","78 PLUNKETT AVE, FINGLAS, DUBLIN 11","","Dublin","€118,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","9 MAYWOOD DR, RAHENY, DUBLIN 5","","Dublin","€426,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","apartment 8, the garden house, waterfall avenue","Dublin 3","Dublin","€80,556.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2014","apartment 9, the garden house, waterfall avenue","Dublin 3","Dublin","€112,162.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2014","APT 22 CARLETON HOUSE, BRENNANSTOWN SQ, CABINTEELY DUBLIN 18","","Dublin","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","Apt 35 The Court, Station Road, Killiney","","Dublin","€661,674.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2014","Mayville, 161 Seafield Road East, Clontarf","Dublin 3","Dublin","€1,000,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","No. 49 The Kilns, Station Road, Portmarnock","","Dublin","€228,968.75","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2014","UNIT 4, BREMORE LODGE, BALBRIGGAN","","Dublin","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/02/2014","UNIT 6, BREMORE LODGE, BALLBRIGGAN","","Dublin","€71,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","10 CHERRY ORCHARD PARADE, BALLYFERMOT, DUBLIN CITY","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","108 KINVARA PARK, NAVAN RD, DUBLIN 7","","Dublin","€272,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","11 LOUGHMOURNE HOUSE, TERENURE RD, TERENURE DUBLIN 6W","Dublin 6w","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","114 FINGLAS PARK, FINGLAS EAST, FINGLAS DUBLIN 11","","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","13 THOMASTOWN RD, DUN LAOGHAIRE, DUBLIN","","Dublin","€477,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","16 BEECHDALE CRESCENT, BALLYCULLEN, FIRHOUSE DUBLIN 24","","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","16 BRIGHTON SQ, BRIGHTON RD, FOXROCK DUBLIN 18","","Dublin","€850,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","21 Beverton Heights, Donabate, Co Dublin","","Dublin","€233,480.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/02/2014","21 CORBAWN LAWN, SHANKILL, DUBLIN 18","","Dublin","€314,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","23 COOLGREENA RD, BEAUMONT, DUBLIN 9","","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","26 MELMORE, EGLINGTON RD, DONNYBROOK DUBLIN 4","","Dublin","€178,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","27 glenville way, castleknock, dublin 15","Dublin 15","Dublin","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","3 HAROLDS CROSS COTTAGES, HAROLDS CROSS, DUBLIN 6","","Dublin","€147,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","3 LOWER HOLLYBANK AVE, RANELAGH, DUBLIN 6","","Dublin","€504,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","31 RATHBORNE AVE, ASHTOWN, DUBLIN 15","","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","33 RATHDOWN SQ, NORTH CIRCULAR RD, DUBLIN 7","","Dublin","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","34 LORCAN OTOOLE PARK, KIMMAGE, DUBLIN 12","","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","4 DORNEY COURT, SHANKILL, DUBLIN","","Dublin","€273,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","400 HAROLDS CROSS ROAD, TERENURE, DUBLIN 6W","","Dublin","€442,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","54 Crosforge, Saggart, County Dublin","","Dublin","€220,264.45","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/02/2014","55 Stratton Grove, Adamstown Square, Adamstown","","Dublin","€114,537.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/02/2014","57 Stratton Grove, Adamstown Square, Adamstown","","Dublin","€125,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/02/2014","6 CONNAWOOD CRESCENT, OLD CONNA WOOD, BRAY","","Dublin","€218,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","61 SEAFIELD COURT, KILLINEY, DUBLIN","","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","726 SOUTH CIRCULAR RD, KILMAINHAM, DUBLIN","","Dublin","€700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","91 BULFIN RD, INCHICORE, DUBLIN 8","","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/02/2014","9, GRAIGUE COURT, POPPINTREE BALLYMUN","","Dublin","€46,750.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","1 ENNISKERRY RD, PHIBSBORO, DUBLIN 7","","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","11 Gaelic Street, North Strand","Dublin 3","Dublin","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","12 Seabank Court, Sandycove","","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","148 PEARSE STREET, DUBLIN 2","","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","17 MALACHI RD, STONEYBATTER, DUBLIN 7","","Dublin","€151,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","17 Rosevale Mansions, Howth Road, Raheny","Dublin 5","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","18 SYNGE STREET, DUBLIN 8","","Dublin","€247,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","19 FORTFIELD RD, TERENURE, DUBLIN 6W","","Dublin","€425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","19A HOWTH JUNCTION, COTTAGES KILBARRAC, RAHENY DUBLIN 5","","Dublin","€176,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","2 Castlegate Rise, Adamnstown Square, Adamstown","","Dublin","€189,427.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"12/02/2014","22 RUSSELL TERRACE, KETTLES LANE, KINSEALY","","Dublin","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","24 THE HEDGEROWS, FOXROCK, DUBLIN 18","","Dublin","€380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","27 BROADFIELD COURT, RATHCOOLE, DUBLIN","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","27 GRACEFIELD RD, ARTANE, DUBLIN 5","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","28 Dollymount Avenue, Clontarf, Dublin 3","Dublin 3","Dublin","€800,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","37 BALLSBRIDGE GARDENS, SHELBOURNE RD, BALLSBRIDGE DUBLIN 4","","Dublin","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","377 MALAHIDE MARINA, MALAHIDE, DUBLIN","","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","38 BROADMEADOWS, SWORDS, DUBLIN","","Dublin","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","4 GRACEPARK RD, DRUMCONDRA, DUBLIN 9","","Dublin","€351,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","57 Royston, Kimmage Road West","","Dublin","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","58 PEMBROKE SQ, GRAND CANAL ST UPPER, DUBLIN 4","","Dublin","€263,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","6 BENSON CRESCENT, BEAVERSTOWN ORCHARD, DONABATE","","Dublin","€119,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","6 WESTON TERRACE, CHURCHTOWN, DUBLIN 14","","Dublin","€399,990.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","7 CORDUFF CRESCENT, BLANCHARDSTOWN, DUBLIN 15","","Dublin","€106,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","75 TERENURE ROAD NORTH, TERENURE, DUBLIN 6","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","85 GORDON STREET, RINGSEND, DUBLIN 4","","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","APT 100A, ELYSIUM, UPPER LEESON ST","","Dublin","€475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","APT 12 THE OAKS, ROCKFIELD, DUNDRUM","","Dublin","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","APT 28, THE STRAND, 149 NORTH STRAND RD","","Dublin","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"12/02/2014","APT 61, THE STRAND, 149 NORTH STRAND RD","","Dublin","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/02/2014","1 The Grove, Woodpark, Ballinteer","","Dublin","€476,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/02/2014","10 CASTLEKNOCK VALE, LAUREL LODGE, CASTLEKNOCK DUBLIN 15","","Dublin","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/02/2014","10 CEDARWOOD GROVE, GLASNEVIN, DUBLIN 11","","Dublin","€308,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/02/2014","10 HUXLEY CRESCENT, CORK ST, DUBLIN 8","","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/02/2014","113 Leinster Road, Rathmines","Dublin 6","Dublin","€750,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"13/02/2014","128 CARYSFORT PARK, BLACKROCK, DUBLIN","","Dublin","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
